date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:13	46751/46751	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202019%2009:28:49%20GMT	http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/light/index.html	(from )
11:36:15	1398/1398	---M-Z	404	error ('Not%20Found')	text/html	etag:%2248b3aee-11f8-5827c2c7b9ef8-gzip%22	http://www.wrraptheme.com/robots.txt		(from )
11:36:15	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Fri,%2022%20Jun%202018%2023:41:18%20GMT	http://www.wrraptheme.com/templates/lucid/hr/html/light/favicon.ico	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/light/favicon.ico	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
11:36:18	155758/155758	---M--	200	added ('OK')	text/css	etag:%2248e1e34-2606e-581cf2b67f580%22	http://www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/bootstrap/css/bootstrap.min.css	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
11:36:18	31000/31000	---M--	200	added ('OK')	text/css	etag:%2249411ba-7918-54ff6940d4500%22	http://www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/font-awesome/css/font-awesome.min.css	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/font-awesome/css/font-awesome.min.css	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
11:36:20	11508/11508	---M--	200	added ('OK')	text/css	etag:%2248e20a0-2cf4-54ff6940d4500%22	http://www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/chartist/css/chartist.min.css	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/chartist/css/chartist.min.css	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
11:36:21	821/821	---M--	200	added ('OK')	text/css	etag:%2248e20af-335-54ff6940d4500%22	http://www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/chartist-plugin-tooltip/chartist-plugin-tooltip.css	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/chartist-plugin-tooltip/chartist-plugin-tooltip.css	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
11:36:21	8570/8570	---M--	200	added ('OK')	text/css	etag:%2249413ea-217a-56f42cf0fd800%22	http://www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/toastr/toastr.min.css	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/assets/vendor/toastr/toastr.min.css	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
11:36:23	195549/195549	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Aug%202019%2009:29:12%20GMT	http://www.wrraptheme.com/templates/lucid/hr/html/light/assets/css/main.css	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/light/assets/css/main.css	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
11:36:25	8731/8731	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Aug%202019%2009:29:11%20GMT	http://www.wrraptheme.com/templates/lucid/hr/html/light/assets/css/color_skins.css	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/light/assets/css/color_skins.css	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
11:36:26	38077/38077	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202019%2009:28:52%20GMT	http://www.wrraptheme.com/templates/lucid/hr/html/light/app-events.html	D:/MyWebSite/HRMIS/www.wrraptheme.com/templates/lucid/hr/html/light/app-events.html	(from http://www.wrraptheme.com/templates/lucid/hr/html/light/index.html)
